,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len,Exterior_color_imputed
1525,34963,2,GMC,Automatic,11690,Black,Black,20,V6,Four-Wheel Drive,Gasoline,11,3742,1
1526,9987,4,Hyundai,Automatic,118439,Blue,Gray,33,I4,Front-Wheel Drive,Gasoline,8,3567,0
1527,11246,5,Kia,Automatic,56328,White,Gray,31,I4,Front-Wheel Drive,Gasoline,3,3227,0
1528,11634,4,Nissan,Automatic,73006,Black,Black,32,I4,Front-Wheel Drive,Gasoline,3,3646,1
1529,11652,8,GMC,Automatic,105223,White,Black,26,I4,Front-Wheel Drive,Gasoline,10,4086,0
1530,11832,4,Kia,Manual,53584,Black,Gray,29,I4,Front-Wheel Drive,Gasoline,2,3159,0
1531,13000,4,Hyundai,Automatic,77745,Black,Gray,32,I4,Front-Wheel Drive,Gasoline,10,4018,0
1532,14564,6,Hyundai,Automatic,67721,Blue,Black,28,I4,Front-Wheel Drive,Gasoline,9,4369,0
1533,16987,3,Hyundai,Automatic,21284,Black,Black,57,I4,Front-Wheel Drive,Hybrid,5,4107,1
1534,18363,4,Jeep,Automatic,29666,Silver,Black,25,I4,Front-Wheel Drive,Gasoline,4,4268,0
1535,19326,2,Hyundai,Automatic,13092,Red,Gray,28,I4,Front-Wheel Drive,Gasoline,7,4288,0
1536,20772,1,Kia,Automatic,24929,Gray,Black,23,I4,All-Wheel Drive,Gasoline,5,3757,0
1537,22616,3,Nissan,Automatic,31307,White,Black,28,I4,All-Wheel Drive,Gasoline,11,4334,0
1538,30189,2,Dodge,Automatic,38750,Gray,Black,21,V6,All-Wheel Drive,Gasoline,7,4068,0
1539,33522,3,Jeep,Automatic,58056,Blue,Black,17,V8,Four-Wheel Drive,Gasoline,13,4715,0
1540,38874,1,Jeep,Automatic,27389,White,Black,19,V6,Four-Wheel Drive,Gasoline,4,3585,0
1541,42906,2,RAM,Automatic,16685,Silver,Black,25,I4,Four-Wheel Drive,Gasoline,8,4121,0
1542,7098,9,Nissan,Automatic,87135,Silver,Black,30,I4,Front-Wheel Drive,Gasoline,1,1356,0
1543,9687,6,Kia,Automatic,77850,Black,Gray,31,I4,Front-Wheel Drive,Gasoline,4,3467,0
1544,11897,8,Volkswagen,Automatic,37690,Silver,Black,26,I5,Front-Wheel Drive,Gasoline,3,1819,0
1545,19694,6,Mercedes-Benz,Automatic,68317,Black,Black,27,I4,All-Wheel Drive,Gasoline,5,1954,0
1546,20989,6,Honda,Automatic,48218,Black,Black,29,I4,All-Wheel Drive,Gasoline,7,4189,1
1547,22897,2,Honda,Automatic,11913,White,Black,36,I4,Front-Wheel Drive,Gasoline,10,2083,0
1548,27224,4,Audi,Automatic,23236,Silver,Black,27,I4,All-Wheel Drive,Gasoline,13,2982,0
1549,28853,2,Jaguar,Automatic,29246,Black,Black,27,I4,All-Wheel Drive,Gasoline,5,2174,0
1550,31440,3,Audi,Automatic,17522,Blue,Gray,28,I4,All-Wheel Drive,Gasoline,13,3118,0
1551,41488,2,Chevrolet,Automatic,12660,White,Black,25,V8,Front-Wheel Drive,Gasoline,4,4188,0
1552,8988,8,Ford,Automatic,47716,Blue,Black,25,I4,Front-Wheel Drive,Electric,4,4819,0
1553,17988,4,Volkswagen,Automatic,23625,White,Black,25,I4,Front-Wheel Drive,Gasoline,1,5824,0
1554,18988,2,Volkswagen,Automatic,3962,Black,Black,25,I4,Front-Wheel Drive,Gasoline,1,4535,0
1555,21988,3,Subaru,Automatic,27320,Gray,Black,32,H4,All-Wheel Drive,Gasoline,5,6421,0
1556,7150,11,Nissan,Automatic,97167,Black,Black,27,I4,Front-Wheel Drive,Gasoline,1,1664,0
1557,13995,6,Nissan,Automatic,94032,Gray,Black,28,I4,All-Wheel Drive,Gasoline,2,1555,0
1558,16910,3,Nissan,Automatic,22671,Silver,Black,113,I4,Front-Wheel Drive,Electric,2,1537,0
1559,17781,3,Nissan,Automatic,17460,Blue,Black,113,I4,Front-Wheel Drive,Electric,3,1637,0
1560,17981,2,Nissan,Automatic,15295,Silver,Black,112,I4,Front-Wheel Drive,Electric,6,1747,0
1561,18997,3,Nissan,Automatic,46843,Black,Black,28,I4,Front-Wheel Drive,Gasoline,4,1626,1
1562,19991,6,Mercedes-Benz,Automatic,55962,Silver,Black,29,I4,Rear-Wheel Drive,Gasoline,9,2430,0
1563,20798,1,Ford,Automatic,33358,Silver,Black,24,I4,All-Wheel Drive,Gasoline,12,2258,0
1564,21995,3,Nissan,Automatic,10830,White,Black,29,I4,Front-Wheel Drive,Gasoline,7,1869,0
1565,27990,3,Chevrolet,Automatic,18184,White,Black,25,V8,Rear-Wheel Drive,Flex Fuel Vehicle,5,1825,0
1566,29997,3,Audi,Automatic,52822,Blue,Black,25,I4,All-Wheel Drive,Gasoline,8,2425,0
1567,31991,6,Ford,Automatic,61565,Black,Gray,17,V8,Four-Wheel Drive,Flex Fuel Vehicle,4,2128,0
1568,37700,1,Volvo,Automatic,11347,Gray,Black,26,I4,All-Wheel Drive,Gasoline,9,2700,0
1569,55910,2,Cadillac,Automatic,49394,Black,Black,17,V8,Four-Wheel Drive,Gasoline,14,3398,0
1570,15495,4,Hyundai,Automatic,91821,Gray,Gray,22,I4,All-Wheel Drive,Gasoline,3,2021,0
1571,17495,5,Hyundai,Automatic,87590,Silver,Black,25,I4,All-Wheel Drive,Gasoline,9,3457,0
1572,17995,1,Kia,Automatic,10847,Gray,Black,29,I4,Front-Wheel Drive,Gasoline,4,2128,0
1573,10264,4,Chevrolet,Automatic,22437,Black,Black,33,I4,Front-Wheel Drive,Gasoline,4,1731,0
1574,10506,15,Toyota,Automatic,303558,Silver,Black,25,V8,Four-Wheel Drive,Gasoline,4,1184,0
1575,13292,3,Kia,Automatic,47226,White,Black,32,I4,Front-Wheel Drive,Gasoline,2,1635,0
1576,13856,22,Ford,Automatic,109655,Black,Black,25,V8,Rear-Wheel Drive,Diesel,1,779,1
1577,19900,5,Cadillac,Automatic,94796,Gray,Black,19,V6,All-Wheel Drive,Gasoline,12,3531,0
1578,21979,7,Jaguar,Automatic,61003,White,Black,19,V6,All-Wheel Drive,Gasoline,6,2137,0
1579,23911,4,INFINITI,Automatic,32533,Red,Black,25,I4,All-Wheel Drive,Gasoline,14,2169,0
1580,29226,4,Buick,Automatic,42285,Black,Black,25,V6,All-Wheel Drive,Gasoline,14,3256,1
1581,33704,3,INFINITI,Automatic,27256,White,Black,22,V6,All-Wheel Drive,Gasoline,13,2649,0
1582,34890,4,Jeep,Manual,37224,Black,Black,18,V6,Four-Wheel Drive,Gasoline,4,1857,1
1583,41612,3,RAM,Automatic,21796,Black,Black,17,V8,Four-Wheel Drive,Gasoline,8,3102,0
1584,56875,1,Ford,Automatic,10944,Silver,Black,18,V6,Four-Wheel Drive,Gasoline,20,4430,0
1585,59995,1,Lincoln,Automatic,11280,White,Black,20,V6,All-Wheel Drive,Gasoline,10,2797,0
1586,6988,15,Audi,Automatic,109318,Silver,Black,25,V6,All-Wheel Drive,Gasoline,2,7024,0
1587,7488,10,Hyundai,Automatic,79338,Blue,Gray,25,I4,Front-Wheel Drive,Gasoline,1,5679,0
1588,8488,8,Ford,Automatic,41377,Red,Black,25,I4,Front-Wheel Drive,Flex Fuel Vehicle,3,6340,0
1589,9988,6,MINI,Automatic,84833,Blue,Black,25,I3,Front-Wheel Drive,Gasoline,2,8232,0
1590,12988,8,Subaru,Automatic,132583,Black,Black,25,H4,All-Wheel Drive,Gasoline,3,8208,1
1591,13988,7,Audi,Automatic,95480,White,Black,25,I4,All-Wheel Drive,Flex Fuel Vehicle,2,9363,0
1592,5999,10,Scion,Automatic,168231,White,Gray,24,I4,Front-Wheel Drive,Gasoline,1,3018,0
1593,5999,16,Toyota,Automatic,210931,Silver,White,25,V6,Front-Wheel Drive,Gasoline,3,1337,0
1594,5999,11,Mazda,Automatic,177476,Black,Black,25,I4,Front-Wheel Drive,Gasoline,3,3092,0
1595,6499,9,Mazda,Automatic,135214,Black,Black,24,I4,Front-Wheel Drive,Gasoline,1,3622,1
1596,7500,10,Hyundai,Automatic,116932,Silver,Black,27,I4,Front-Wheel Drive,Gasoline,5,3284,0
1597,7999,7,Nissan,Automatic,44961,Silver,Black,114,I4,Front-Wheel Drive,Electric,5,4823,0
1598,9599,9,Hyundai,Automatic,101987,Black,Black,25,I4,Front-Wheel Drive,Gasoline,3,4460,1
1599,11500,14,Chevrolet,Automatic,174567,Red,Black,16,V8,Four-Wheel Drive,Flex Fuel Vehicle,6,3684,0
1600,11999,15,Mercedes-Benz,Automatic,78426,Blue,Black,21,V6,Rear-Wheel Drive,Gasoline,3,2739,0
1601,17886,7,BMW,Automatic,94485,White,Black,36,I4,All-Wheel Drive,Diesel,4,2564,0
1602,21898,3,BMW,Automatic,36170,Black,Black,27,I4,All-Wheel Drive,Gasoline,5,739,0
1603,24499,5,Ford,Automatic,83126,Silver,Black,19,V6,All-Wheel Drive,Gasoline,4,3034,0
1604,24866,3,BMW,Automatic,20738,White,Black,27,I4,All-Wheel Drive,Gasoline,1,1508,0
