,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len,Exterior_color_imputed
103,39650,5,GMC,Automatic,61816,Silver,Black,17,V8,Four-Wheel Drive,Gasoline,13,5245,0
104,40888,1,Lexus,Automatic,3285,Black,Black,23,V6,Front-Wheel Drive,Gasoline,41,5771,1
105,32791,3,Lexus,Automatic,35163,Black,Black,23,V6,Front-Wheel Drive,Gasoline,4,3426,1
106,22991,4,Chevrolet,Automatic,31845,Gray,Black,18,V6,Front-Wheel Drive,Gasoline,13,3605,0
107,35998,3,Audi,Automatic,51243,Red,Black,25,V6,All-Wheel Drive,Gasoline,10,1815,0
108,27998,2,Ford,Automatic,13555,Black,Black,25,I4,Front-Wheel Drive,Gasoline,3,1507,0
109,14299,2,Toyota,Automatic,36974,Red,Black,31,I4,Front-Wheel Drive,Gasoline,1,2424,0
110,22997,4,Lexus,Automatic,51716,Red,Black,25,I4,Front-Wheel Drive,Gasoline,6,1539,0
111,59550,3,Land,Automatic,24217,Gray,Black,19,V6,All-Wheel Drive,Gasoline,6,2554,0
112,41988,2,Tesla,Automatic,20278,Silver,Black,25,I4,All-Wheel Drive,Electric,7,1625,0
113,21968,2,Subaru,Manual,3979,Silver,Black,25,H4,All-Wheel Drive,Gasoline,5,1923,0
114,44299,1,RAM,Automatic,35547,White,Black,17,V8,Four-Wheel Drive,Gasoline,3,2691,0
115,10488,3,Toyota,Automatic,47965,White,Black,35,I4,Front-Wheel Drive,Gasoline,2,1407,0
116,14495,2,Toyota,Automatic,72960,White,Black,32,I4,Front-Wheel Drive,Gasoline,3,2586,0
117,30215,1,Dodge,Automatic,32001,Black,Black,21,V6,All-Wheel Drive,Gasoline,9,3449,1
118,14499,5,Buick,Automatic,60250,Black,Black,28,I4,All-Wheel Drive,Gasoline,6,5309,1
119,9490,7,Volkswagen,Automatic,90385,Black,Black,22,I4,All-Wheel Drive,Gasoline,5,605,1
120,23995,3,Acura,Automatic,38771,White,Black,25,V6,Front-Wheel Drive,Gasoline,14,5785,0
121,50991,2,RAM,Automatic,81664,White,Black,25,I6,Four-Wheel Drive,Diesel,2,1380,0
122,18497,2,Honda,Automatic,32186,Black,Black,30,I4,Front-Wheel Drive,Gasoline,8,3260,0
123,12980,5,Mazda,Automatic,113209,Red,Black,26,I4,All-Wheel Drive,Gasoline,9,1864,0
124,14399,2,Toyota,Automatic,35638,Red,Black,31,I4,Front-Wheel Drive,Gasoline,1,2443,0
125,41100,2,RAM,Automatic,21425,Gray,Black,18,V8,Front-Wheel Drive,Gasoline,6,2580,0
126,60998,3,RAM,Automatic,47821,White,Black,25,I6,Four-Wheel Drive,Diesel,7,1765,0
127,6999,8,Mazda,Automatic,120608,Black,Black,32,I4,Front-Wheel Drive,Gasoline,3,1213,1
128,28299,4,Jeep,Automatic,38241,White,Black,17,V6,Four-Wheel Drive,Gasoline,3,2129,0
129,35496,3,BMW,Automatic,27342,Black,Black,55,I4,All-Wheel Drive,Gasoline,7,1173,0
130,13800,7,Chevrolet,Automatic,142858,Black,Black,17,V8,Front-Wheel Drive,Flex Fuel Vehicle,12,3398,0
131,21589,2,Chevrolet,Automatic,30459,White,Black,26,I4,Rear-Wheel Drive,Gasoline,4,2554,0
132,22250,4,Mercedes-Benz,Automatic,25401,White,Black,28,I4,Rear-Wheel Drive,Gasoline,7,4044,0
133,34600,2,Nissan,Automatic,51331,Black,Black,17,V8,Four-Wheel Drive,Gasoline,27,2080,0
134,14980,5,Ford,Automatic,97654,Red,Black,25,V6,Rear-Wheel Drive,Gasoline,5,1428,0
135,14105,2,Toyota,Automatic,42867,Red,Black,31,I4,Front-Wheel Drive,Gasoline,3,2652,0
136,11900,6,Kia,Automatic,57695,Black,Black,27,I4,Front-Wheel Drive,Gasoline,17,413,0
137,20880,8,Cadillac,Automatic,122686,White,White,15,V8,All-Wheel Drive,Flex Fuel Vehicle,2,595,0
138,24199,1,Ford,Automatic,27618,Red,Black,24,I4,All-Wheel Drive,Gasoline,6,2769,0
139,39999,3,Mercedes-Benz,Automatic,17754,Gray,Black,22,V6,Rear-Wheel Drive,Gasoline,7,2459,0
140,36888,3,Lexus,Automatic,24859,Black,Black,23,V6,Rear-Wheel Drive,Gasoline,13,7962,1
141,9499,8,Toyota,Automatic,110655,Black,Black,49,I4,Front-Wheel Drive,Hybrid,4,865,0
142,25959,4,Ford,Automatic,40158,Red,Black,20,V6,Front-Wheel Drive,Gasoline,7,3327,0
143,14999,8,Ford,Automatic,162428,White,Gray,25,V6,Front-Wheel Drive,Gasoline,3,483,0
144,41777,3,BMW,Automatic,33430,Black,Black,24,I6,Rear-Wheel Drive,Gasoline,10,2274,0
145,17988,4,Nissan,Automatic,67396,Black,Black,19,V6,Front-Wheel Drive,Gasoline,2,1001,0
146,32995,3,Lexus,Automatic,38606,Gray,Black,22,V6,Front-Wheel Drive,Gasoline,8,1788,0
147,24997,2,Honda,Automatic,13956,Blue,Gray,30,I4,Front-Wheel Drive,Gasoline,9,3219,0
148,24618,2,Nissan,Automatic,40267,Silver,Black,25,V6,Four-Wheel Drive,Gasoline,3,1576,0
149,29998,1,Ford,Automatic,2187,Gray,Black,25,I4,Front-Wheel Drive,Gasoline,2,1479,0
150,8615,11,Jeep,Automatic,74359,Silver,Gray,22,I4,Front-Wheel Drive,Gasoline,3,2406,0
151,18995,8,INFINITI,Automatic,106670,White,Black,16,V8,Four-Wheel Drive,Gasoline,18,6562,0
152,41999,3,Chevrolet,Automatic,31598,White,Black,25,V8,Front-Wheel Drive,Gasoline,13,4684,0
153,31950,1,Subaru,Automatic,16184,Black,Black,29,H4,All-Wheel Drive,Gasoline,12,3509,0
154,14599,2,Toyota,Automatic,34130,White,Black,31,I4,Front-Wheel Drive,Gasoline,3,2407,0
155,18199,1,Toyota,Automatic,32590,Black,Black,32,I4,Front-Wheel Drive,Gasoline,4,2374,0
156,39894,1,Jeep,Automatic,25794,Silver,Black,21,I4,Four-Wheel Drive,Gasoline,6,3300,0
157,32777,1,Chevrolet,Automatic,30295,White,Black,25,I4,Front-Wheel Drive,Gasoline,7,5081,0
158,18900,3,BMW,Automatic,20192,Gray,Black,25,I4,Rear-Wheel Drive,Gasoline,15,2518,0
159,32065,3,Jeep,Automatic,29106,Silver,Black,25,V6,Four-Wheel Drive,Gasoline,18,1631,0
160,22499,4,Lexus,Automatic,41748,Black,Black,24,I4,Front-Wheel Drive,Gasoline,3,917,0
161,11600,4,Hyundai,Automatic,72411,White,Black,29,I4,Front-Wheel Drive,Gasoline,5,1278,0
162,21999,5,Chevrolet,Automatic,75931,White,Black,19,V6,Four-Wheel Drive,Flex Fuel Vehicle,3,3625,0
163,23925,4,Ford,Automatic,61345,Black,Black,22,I4,Front-Wheel Drive,Gasoline,7,2106,0
164,30991,2,Lexus,Automatic,26402,Silver,Black,31,I4,All-Wheel Drive,Hybrid,2,2447,0
165,41991,1,Lexus,Automatic,4817,White,Black,23,V6,Front-Wheel Drive,Gasoline,6,2613,0
166,13980,4,Mazda,Automatic,43500,Blue,Gray,32,I4,Front-Wheel Drive,Gasoline,7,995,0
167,19991,6,GMC,Automatic,91352,Red,Black,21,V6,Front-Wheel Drive,Gasoline,5,4476,0
168,8999,4,Hyundai,Automatic,109371,Silver,Gray,29,I4,Front-Wheel Drive,Gasoline,5,2624,0
169,9499,5,Kia,Automatic,60392,Gray,Black,26,I4,Front-Wheel Drive,Gasoline,2,692,0
170,20299,1,Kia,Automatic,38777,Silver,Black,22,V6,Front-Wheel Drive,Gasoline,6,2288,0
171,22999,6,Chevrolet,Automatic,124357,Black,Black,19,V8,Front-Wheel Drive,Flex Fuel Vehicle,25,3349,0
172,35696,3,Mercedes-Benz,Automatic,11219,Silver,Black,25,I4,Rear-Wheel Drive,Gasoline,19,2369,0
173,30900,3,Toyota,Automatic,18243,Silver,Black,23,V6,Front-Wheel Drive,Gasoline,11,2678,0
174,24995,8,Ford,Automatic,111923,White,Black,17,V6,Four-Wheel Drive,Gasoline,8,1738,0
175,13495,5,Mazda,Automatic,101806,Black,Black,29,I4,Front-Wheel Drive,Gasoline,12,5076,0
176,21900,8,Ford,Automatic,111598,White,Black,16,V8,Four-Wheel Drive,Flex Fuel Vehicle,4,1170,0
177,30190,3,Jeep,Automatic,32292,Red,Black,17,V6,Four-Wheel Drive,Gasoline,3,3643,0
178,15975,6,Chevrolet,Automatic,103206,Silver,Black,20,V6,Front-Wheel Drive,Gasoline,12,4827,0
179,12900,7,Honda,Automatic,105188,Black,Black,26,V6,Front-Wheel Drive,Gasoline,5,1936,0
180,22585,2,Mazda,Automatic,42102,Silver,Black,26,I4,All-Wheel Drive,Gasoline,9,1314,0
181,30995,3,Land,Automatic,23945,Black,Black,22,I4,All-Wheel Drive,Gasoline,3,1563,0
182,15225,2,Toyota,Automatic,30319,White,Black,31,I4,Front-Wheel Drive,Gasoline,6,1914,0
183,46995,1,Cadillac,Automatic,2483,White,Black,21,V6,Front-Wheel Drive,Gasoline,18,3857,0
184,55995,4,Porsche,Automatic,12689,Gray,Black,25,H4,Rear-Wheel Drive,Gasoline,4,2107,0
185,19900,2,Honda,Automatic,21307,Gray,Black,36,I4,Front-Wheel Drive,Gasoline,13,1774,0
186,57950,3,Cadillac,Automatic,27189,Black,Black,18,V8,Rear-Wheel Drive,Gasoline,14,5242,0
187,11500,18,Jeep,Automatic,116600,Black,Black,15,I6,Four-Wheel Drive,Gasoline,1,405,0
188,17300,3,Toyota,Automatic,33202,Black,Black,28,I4,Front-Wheel Drive,Gasoline,3,2473,0
189,35998,3,Chevrolet,Automatic,40252,Silver,Black,25,V8,Four-Wheel Drive,Gasoline,4,1575,0
190,29998,3,Jeep,Automatic,31759,Silver,Black,17,V6,Four-Wheel Drive,Gasoline,2,1436,0
191,16704,1,Volkswagen,Manual,11424,Black,Black,31,I4,Front-Wheel Drive,Gasoline,9,2015,0
192,31975,3,Mercedes-Benz,Automatic,30253,Black,Black,25,I4,Rear-Wheel Drive,Gasoline,11,4372,0
193,9996,3,Nissan,Automatic,110120,White,Black,31,I4,Front-Wheel Drive,Gasoline,3,2788,0
194,24995,1,Buick,Automatic,2272,White,Black,25,I4,Front-Wheel Drive,Gasoline,11,2612,0
195,12499,4,Honda,Automatic,34651,Gray,Black,36,I4,Front-Wheel Drive,Gasoline,3,1512,0
196,30900,3,Acura,Automatic,20374,White,Black,22,V6,Front-Wheel Drive,Gasoline,13,2867,0
197,39990,2,Chevrolet,Automatic,61452,Black,Black,17,V8,Four-Wheel Drive,Gasoline,14,6199,0
198,34297,3,Mercedes-Benz,Automatic,20457,White,Black,25,I4,Rear-Wheel Drive,Gasoline,19,2381,0
199,19999,3,Nissan,Automatic,31492,Gray,Black,23,V6,Front-Wheel Drive,Gasoline,3,2649,0
200,19999,6,BMW,Automatic,52158,Gray,Black,36,I4,All-Wheel Drive,Diesel,11,1512,0
201,17574,2,Volkswagen,Automatic,9517,Silver,Black,32,I4,Front-Wheel Drive,Gasoline,9,1998,0
202,29999,3,Mercedes-Benz,Automatic,35692,Black,Black,25,I4,Rear-Wheel Drive,Gasoline,7,2930,0
203,26395,5,Mercedes-Benz,Automatic,32559,Gray,Gray,20,V6,Rear-Wheel Drive,Gasoline,4,4385,0
204,11991,8,Acura,Automatic,96977,Gray,Black,26,I4,Front-Wheel Drive,Gasoline,3,746,0
205,18198,1,Honda,Automatic,19581,Black,Black,35,I4,Front-Wheel Drive,Gasoline,4,2562,0
206,21900,3,INFINITI,Automatic,28918,Blue,Black,26,I4,Rear-Wheel Drive,Gasoline,15,1408,0
207,18999,6,BMW,Automatic,61461,Gray,Black,24,I6,Rear-Wheel Drive,Gasoline,11,1615,0
208,123900,5,Bentley,Automatic,25236,Black,Black,18,V8,All-Wheel Drive,Gasoline,5,1684,1
209,31500,1,Nissan,Automatic,2756,Black,Black,24,V6,Front-Wheel Drive,Gasoline,11,1849,1
210,12995,8,Ford,Automatic,64065,Black,Black,22,V6,Front-Wheel Drive,Gasoline,13,2524,1
211,17800,6,Dodge,Automatic,76465,Gray,Black,22,V6,All-Wheel Drive,Gasoline,10,904,0
212,35934,3,Jeep,Automatic,30136,Black,Black,20,V6,Four-Wheel Drive,Gasoline,1,3895,1
213,19609,3,Chrysler,Automatic,41626,Silver,Black,22,V6,Front-Wheel Drive,Gasoline,12,3797,0
214,12980,9,Honda,Automatic,99482,Gray,Gray,23,V6,Front-Wheel Drive,Gasoline,9,1924,0
215,36040,3,Jeep,Automatic,28950,Black,Black,20,V6,Four-Wheel Drive,Gasoline,1,3895,1
216,5999,16,Chevrolet,Automatic,175299,Black,Black,15,V8,Rear-Wheel Drive,Flex Fuel Vehicle,2,1314,1
217,22820,1,Jeep,Automatic,27113,Gray,Black,25,I4,Four-Wheel Drive,Gasoline,7,3334,0
218,16999,6,INFINITI,Automatic,74471,Black,Black,23,V6,Front-Wheel Drive,Gasoline,12,1030,0
219,18966,2,Subaru,Automatic,92110,Silver,Black,29,H4,All-Wheel Drive,Gasoline,9,2163,0
220,28000,3,Toyota,Automatic,23590,Silver,Black,23,V6,Front-Wheel Drive,Gasoline,4,3151,0
221,7799,13,BMW,Automatic,91153,Gray,Black,20,I6,All-Wheel Drive,Gasoline,7,802,0
222,17900,18,Chevrolet,Manual,73332,Red,Black,21,V8,Rear-Wheel Drive,Gasoline,2,2326,0
223,23925,1,Nissan,Automatic,11256,Gray,Black,31,I4,Front-Wheel Drive,Gasoline,16,2533,0
224,13899,3,Hyundai,Automatic,72900,Silver,Gray,25,I4,Front-Wheel Drive,Gasoline,4,1231,0
225,22367,1,Mazda,Automatic,32294,Silver,Black,26,I4,All-Wheel Drive,Gasoline,15,2063,0
226,23297,1,Ford,Automatic,27762,Red,Black,24,I4,Front-Wheel Drive,Gasoline,3,350,0
227,21850,3,Jeep,Automatic,43677,Black,Black,22,V6,Front-Wheel Drive,Gasoline,5,1469,1
228,22499,1,Jeep,Automatic,30791,Black,Black,25,I4,Four-Wheel Drive,Gasoline,6,3341,0
229,17900,5,Dodge,Automatic,70389,Black,Black,23,V6,Rear-Wheel Drive,Gasoline,5,1206,1
230,14980,3,Hyundai,Automatic,18893,Black,Black,27,I4,Front-Wheel Drive,Gasoline,4,728,0
231,27688,3,Lexus,Automatic,27652,Black,Black,31,I4,All-Wheel Drive,Hybrid,6,2135,1
232,21488,1,Hyundai,Automatic,6488,Blue,Black,24,I4,Front-Wheel Drive,Gasoline,8,2113,0
233,17494,3,Chevrolet,Automatic,33964,White,Black,25,I4,Front-Wheel Drive,Gasoline,3,1076,0
234,8499,7,Ford,Automatic,94000,Black,Black,28,I4,Front-Wheel Drive,Gasoline,5,130,1
235,22898,2,Nissan,Automatic,27575,Silver,Black,25,V6,Front-Wheel Drive,Gasoline,3,1748,0
236,19769,3,Toyota,Automatic,34024,Silver,Black,26,I4,Front-Wheel Drive,Gasoline,1,4502,0
237,9999,6,Ford,Automatic,63000,Black,Black,27,I4,Front-Wheel Drive,Gasoline,3,1599,1
238,40490,2,Chevrolet,Automatic,11615,White,Black,20,V8,Rear-Wheel Drive,Gasoline,5,4849,0
239,18999,3,Chrysler,Automatic,33539,Silver,Black,22,V6,All-Wheel Drive,Gasoline,11,2951,0
240,20950,2,Toyota,Automatic,15938,Black,Black,25,I4,Front-Wheel Drive,Gasoline,6,134,1
241,81500,3,Porsche,Automatic,37295,Black,Black,25,H6,Rear-Wheel Drive,Gasoline,4,3714,0
242,13999,3,Toyota,Automatic,40350,Black,Black,31,I4,Front-Wheel Drive,Gasoline,3,2502,1
243,14996,7,Honda,Automatic,76459,Black,Black,25,I4,All-Wheel Drive,Gasoline,9,4044,0
244,15499,5,Toyota,Automatic,50112,Silver,Black,52,I4,Front-Wheel Drive,Hybrid,3,867,0
245,29999,6,Maserati,Automatic,37641,Gray,Black,19,V6,All-Wheel Drive,Gasoline,6,2891,0
246,50199,2,Chevrolet,Automatic,28483,Silver,Black,25,V8,Four-Wheel Drive,Gasoline,14,4564,0
247,35799,3,Jeep,Automatic,33430,Black,Black,20,V6,Four-Wheel Drive,Gasoline,1,3895,1
248,71998,1,BMW,Automatic,4910,Black,Black,22,I6,All-Wheel Drive,Gasoline,9,1826,0
249,32998,1,Mercedes-Benz,Automatic,10891,Blue,Black,29,I4,Front-Wheel Drive,Gasoline,15,2489,0
250,34995,6,RAM,Automatic,56759,White,Black,25,I4,Front-Wheel Drive,Gasoline,3,409,0
251,14990,6,Volkswagen,Automatic,69629,Black,Black,28,I4,Front-Wheel Drive,Gasoline,4,4746,0
252,22995,7,Chevrolet,Automatic,93729,Black,Gray,25,V8,Four-Wheel Drive,Flex Fuel Vehicle,3,3357,0
253,31292,1,Lexus,Automatic,3809,Black,Black,39,I4,All-Wheel Drive,Hybrid,5,2035,1
254,27990,3,Mercedes-Benz,Automatic,32717,Black,Black,24,I4,Rear-Wheel Drive,Gasoline,6,3788,0
255,10995,7,Honda,Automatic,111521,Black,Black,26,I4,Front-Wheel Drive,Gasoline,3,425,1
256,26995,5,GMC,Automatic,56905,Black,Black,20,V6,Four-Wheel Drive,Gasoline,5,2339,0
257,31591,4,Lexus,Automatic,27464,Black,Black,25,V6,Rear-Wheel Drive,Gasoline,5,2120,1
258,14999,4,Honda,Automatic,55000,White,Black,31,I4,Front-Wheel Drive,Gasoline,3,4070,0
259,23599,2,Nissan,Automatic,12000,Silver,Gray,19,V6,Front-Wheel Drive,Gasoline,3,4133,0
260,15980,7,Chevrolet,Automatic,84055,Gray,Black,23,V6,Rear-Wheel Drive,Gasoline,5,1580,0
261,28591,2,Lexus,Automatic,13508,Black,Black,24,I4,Front-Wheel Drive,Gasoline,2,2452,1
262,9450,5,Kia,Automatic,84972,Silver,Black,27,I4,Front-Wheel Drive,Gasoline,2,3630,0
263,11590,6,Honda,Automatic,63019,Black,Black,34,I4,Front-Wheel Drive,Gasoline,3,421,0
264,10000,7,Scion,Manual,67532,White,Black,24,I4,Front-Wheel Drive,Gasoline,3,3326,0
265,82995,1,Land,Automatic,3155,Silver,Black,17,V8,All-Wheel Drive,Gasoline,4,1987,0
266,14994,2,Nissan,Automatic,31738,White,Black,28,I4,Front-Wheel Drive,Gasoline,4,851,0
267,26646,3,Jeep,Automatic,30072,Silver,Black,22,V6,Front-Wheel Drive,Gasoline,9,3119,0
268,31950,2,Ford,Automatic,28954,Gray,Gray,19,V8,Front-Wheel Drive,Flex Fuel Vehicle,7,2384,0
269,42998,2,Chevrolet,Automatic,23028,Black,Black,18,V8,Four-Wheel Drive,Gasoline,5,1579,1
270,35500,4,GMC,Automatic,45908,Black,Black,19,V8,Front-Wheel Drive,Flex Fuel Vehicle,8,3553,0
271,35698,3,Mercedes-Benz,Automatic,14099,Blue,Black,25,I4,Rear-Wheel Drive,Gasoline,20,4232,0
272,26800,6,Ford,Automatic,121204,White,Black,25,I4,Four-Wheel Drive,Gasoline,2,896,0
273,33300,1,BMW,Automatic,4602,White,Black,27,I4,All-Wheel Drive,Gasoline,6,1471,0
274,24991,2,Lexus,Automatic,25934,Black,Black,32,I4,Front-Wheel Drive,Gasoline,5,2518,1
275,17100,6,Honda,Automatic,68689,White,White,26,V6,Front-Wheel Drive,Gasoline,6,2778,0
276,147500,5,Porsche,Automatic,2526,Black,Black,17,H6,Rear-Wheel Drive,Gasoline,5,2087,0
277,24991,4,Lexus,Automatic,17973,Gray,Black,26,I4,Rear-Wheel Drive,Gasoline,2,1990,0
278,30999,3,BMW,Automatic,1108,Red,Black,28,I4,Rear-Wheel Drive,Gasoline,6,2155,0
279,29235,2,Audi,Automatic,25538,White,Black,24,I4,All-Wheel Drive,Gasoline,7,4827,0
280,17450,1,Toyota,Automatic,42682,Silver,Black,36,I4,Front-Wheel Drive,Gasoline,5,2435,0
281,10745,5,Nissan,Automatic,92652,Gray,Black,29,I4,Front-Wheel Drive,Gasoline,3,746,0
282,18595,8,Toyota,Automatic,79816,Silver,Black,28,V6,All-Wheel Drive,Hybrid,6,2928,0
283,34975,3,Lexus,Automatic,24719,White,Black,22,V6,Front-Wheel Drive,Gasoline,17,4441,0
284,15999,2,Toyota,Automatic,32016,Gray,Black,31,I4,Front-Wheel Drive,Gasoline,2,2514,0
285,34950,2,Lexus,Automatic,14944,Blue,Black,26,V6,Front-Wheel Drive,Gasoline,11,3922,0
286,26498,1,Volkswagen,Automatic,10849,Blue,Black,23,I4,All-Wheel Drive,Gasoline,9,3423,0
287,53998,0,Lexus,Automatic,4786,Gray,Black,16,V8,All-Wheel Drive,Gasoline,12,2630,0
288,8995,7,Honda,Automatic,186923,Black,Black,25,V6,Front-Wheel Drive,Gasoline,3,5202,1
289,19996,3,MINI,Automatic,35071,Black,Black,27,I4,Front-Wheel Drive,Gasoline,5,2417,0
290,31999,3,Mercedes-Benz,Automatic,18086,Gray,Black,24,I4,All-Wheel Drive,Gasoline,4,2543,0
291,25998,1,Acura,Automatic,8023,Black,Black,28,I4,Front-Wheel Drive,Gasoline,8,2171,0
292,12497,6,Mazda,Automatic,48952,Gray,Black,34,I4,Front-Wheel Drive,Gasoline,8,4044,0
293,13995,4,Chevrolet,Automatic,42743,Blue,Gray,25,I4,Front-Wheel Drive,Electric,5,2120,0
294,218900,3,Ferrari,Automatic,9329,Black,Black,25,V12,All-Wheel Drive,Gasoline,6,1123,1
295,18988,2,Honda,Manual,16300,Silver,Black,29,I4,Front-Wheel Drive,Gasoline,7,3425,0
296,47657,1,Cadillac,Automatic,6061,Black,Black,20,V6,Four-Wheel Drive,Gasoline,3,2042,1
297,17599,3,Jeep,Automatic,76003,Silver,Black,25,I4,Four-Wheel Drive,Gasoline,5,2580,0
298,22620,1,Jeep,Automatic,30761,White,Black,25,I4,Four-Wheel Drive,Gasoline,7,3302,0
299,9950,3,Kia,Automatic,82374,Silver,Black,27,I4,Front-Wheel Drive,Gasoline,5,4044,0
300,26975,4,Lexus,Automatic,56965,Silver,Gray,25,V6,Front-Wheel Drive,Gasoline,4,4437,0
301,18887,3,BMW,Automatic,20122,Black,Gray,109,I2,Rear-Wheel Drive,Gasoline,6,2438,0
302,8999,8,Lexus,Automatic,131041,Gray,Black,41,I4,Front-Wheel Drive,Hybrid,5,2175,0
303,14050,4,Volkswagen,Automatic,27042,Black,Black,21,I4,Front-Wheel Drive,Gasoline,5,2270,0
304,17388,2,Honda,Automatic,23030,Silver,Black,33,I4,Front-Wheel Drive,Gasoline,2,4349,0
305,20675,2,Chrysler,Automatic,28970,White,Black,23,V6,Rear-Wheel Drive,Gasoline,22,2733,0
306,14596,11,Dodge,Automatic,152289,Gray,Gray,15,V8,Four-Wheel Drive,Gasoline,6,4108,0
307,17828,9,Toyota,Automatic,158026,Silver,Gray,18,V6,Front-Wheel Drive,Gasoline,7,995,0
308,35196,2,Honda,Automatic,17250,Black,Black,21,V6,All-Wheel Drive,Gasoline,12,4681,0
309,21975,2,Ford,Automatic,39410,Gray,Black,25,I4,Rear-Wheel Drive,Gasoline,10,4379,0
310,22619,1,Mazda,Automatic,31167,Silver,Black,26,I4,All-Wheel Drive,Gasoline,15,2063,0
311,35950,3,Ford,Automatic,22605,Blue,Black,18,V6,All-Wheel Drive,Gasoline,13,3861,0
312,80985,3,Land,Automatic,28239,Blue,White,18,V8,All-Wheel Drive,Gasoline,4,1414,0
313,15795,6,Ford,Automatic,49272,Black,Black,24,I4,Front-Wheel Drive,Gasoline,7,5599,0
314,9999,9,Toyota,Automatic,96731,Black,Black,29,I4,Front-Wheel Drive,Gasoline,2,761,0
315,22297,1,Ford,Automatic,37021,White,Black,24,I4,Front-Wheel Drive,Gasoline,3,321,0
316,15995,3,Buick,Automatic,20122,Red,Black,25,I4,Front-Wheel Drive,Gasoline,4,2221,0
317,20997,2,Chevrolet,Automatic,54220,White,Black,25,V6,Rear-Wheel Drive,Gasoline,3,353,0
318,23350,4,Lexus,Automatic,26010,Silver,Silver,26,I4,Rear-Wheel Drive,Gasoline,4,2922,0
319,18940,5,Nissan,Automatic,50570,Gray,Black,25,V6,Front-Wheel Drive,Gasoline,1,1718,0
320,29999,8,GMC,Automatic,109605,White,Black,25,V8,Front-Wheel Drive,Diesel,3,2169,0
321,22900,2,Chevrolet,Automatic,26026,Gray,Black,25,I4,Rear-Wheel Drive,Gasoline,4,1348,0
322,19900,2,Honda,Automatic,48000,Gray,Black,35,I4,Front-Wheel Drive,Gasoline,6,4241,0
323,22000,1,Ford,Automatic,23852,Black,Black,29,I3,Front-Wheel Drive,Gasoline,8,2805,1
324,15350,1,Kia,Automatic,27439,Blue,Black,33,I4,Front-Wheel Drive,Gasoline,4,2479,0
325,18488,0,Toyota,Manual,6456,Black,Black,32,I4,Front-Wheel Drive,Gasoline,7,4107,0
326,17250,6,Lexus,Automatic,72086,Silver,Black,25,V6,Rear-Wheel Drive,Gasoline,1,3426,0
327,9895,6,Kia,Automatic,86799,White,Black,37,I4,Front-Wheel Drive,Hybrid,2,1971,0
328,20791,1,Jeep,Automatic,8216,Red,Black,26,I4,Front-Wheel Drive,Gasoline,8,6179,0
329,26975,4,BMW,Automatic,63591,White,Black,21,I6,Rear-Wheel Drive,Gasoline,11,4974,0
330,22993,4,BMW,Automatic,21876,Red,Black,27,I4,Rear-Wheel Drive,Gasoline,2,2648,0
331,29888,2,Ford,Automatic,9176,White,Black,25,I4,Front-Wheel Drive,Gasoline,8,4085,0
332,42998,1,Jeep,Automatic,13988,Black,Black,21,I4,Four-Wheel Drive,Gasoline,7,4111,1
333,20299,3,Chrysler,Automatic,31838,White,Black,22,V6,All-Wheel Drive,Gasoline,8,3488,0
334,26495,0,Chevrolet,Automatic,2500,Black,Black,21,I4,Front-Wheel Drive,Gasoline,3,2608,1
335,75998,2,Mercedes-Benz,Automatic,12498,Black,Black,21,V8,Rear-Wheel Drive,Gasoline,10,1868,0
336,44999,8,Mercedes-Benz,Automatic,53884,Silver,Black,18,V8,Rear-Wheel Drive,Gasoline,19,1589,0
337,40998,1,Kia,Automatic,54271,White,Black,22,V6,Front-Wheel Drive,Gasoline,11,2668,0
338,7995,7,Chevrolet,Automatic,101182,Black,Gray,29,I4,Front-Wheel Drive,Gasoline,2,1508,0
339,79990,3,Land,Automatic,11361,Gray,Black,19,V6,All-Wheel Drive,Gasoline,9,2452,0
340,14994,2,Nissan,Automatic,32270,Silver,Black,33,I4,Front-Wheel Drive,Gasoline,5,1046,0
341,28377,2,Lexus,Automatic,16628,Silver,Black,24,I4,Front-Wheel Drive,Gasoline,10,5681,0
342,16950,4,Toyota,Automatic,45288,Silver,Black,52,I4,Front-Wheel Drive,Hybrid,6,2441,0
343,32155,1,Mazda,Automatic,29095,White,Black,22,I4,All-Wheel Drive,Gasoline,14,4097,0
344,17498,3,Nissan,Automatic,29792,White,Black,29,I4,Front-Wheel Drive,Gasoline,8,3897,0
345,42777,3,Land,Automatic,28814,Silver,Gray,23,I4,All-Wheel Drive,Gasoline,7,2086,0
346,13900,5,Ford,Automatic,117610,White,Black,23,I4,All-Wheel Drive,Gasoline,15,1357,0
347,30991,3,Lexus,Automatic,22095,Red,Black,31,I4,All-Wheel Drive,Hybrid,8,3527,0
348,29888,3,Jaguar,Automatic,38385,Blue,Black,29,I4,All-Wheel Drive,Diesel,6,1830,0
349,29999,0,Hyundai,Automatic,2658,Black,Black,23,I4,All-Wheel Drive,Gasoline,7,2274,0
350,24795,4,Ford,Automatic,38887,Black,Black,20,V6,Front-Wheel Drive,Gasoline,9,4517,0
351,22399,2,Chrysler,Automatic,31809,Gray,Black,22,V6,All-Wheel Drive,Gasoline,11,3335,0
352,17226,2,Honda,Manual,23180,Silver,Black,29,I4,Front-Wheel Drive,Gasoline,3,2124,0
